Link,Image,Tên nhà hàng,Loại hình,Phong cách món ăn,Đối tượng phù hợp,Đánh giá trung bình,Tổng số bình luận,Bình luận tuyệt vời,Bình luận khá tốt,Bình luận trung bình,Bình luận kém,Điểm không gian,Điểm vị trí,Điểm chất lượng,Điểm phục vụ,Điểm giá cả,Đường,Quận,Thành phố,Giờ mở cửa,Khoảng giá,Restaurant ID
https://www.foody.vn/ha-noi/jacksons-steakhouse,https://down-vn.img.susercontent.com/vn-11134259-7r98o-lwguxfh7su6xa3@resize_ss576x330,Jacksons Steakhouse Hanoi,"Nhà hàng, Sang trọng",Mỹ,"Cặp đôi, Giới văn phòng, Giới Manager",6.7,533,150,53,329,0,6.8,6.7,6.8,6.8,6.6,"23J Hai Bà Trưng, P. Hàng Bài",Quận Hoàn Kiếm,Hà Nội,09:30 - 23:30,300.000đ - 1.100.000đ,1312
https://www.foody.vn/ha-noi/salmonoid-cao-ba-quat,https://down-vn.img.susercontent.com/vn-11134259-7r98o-lweqbrf4923dad@resize_ss576x330,Salmonoid - Món Âu - Cao Bá Quát,"Nhà hàng, Sang trọng",Pháp,"Cặp đôi, Gia đình, Giới Manager",7.5,271,47,159,62,3,7.7,7.6,7.8,7.7,7.1,32C Cao Bá Quát,Quận Ba Đình,Hà Nội,10:00 - 22:30,200.000đ - 650.000đ,2238
https://www.foody.vn/ha-noi/essence-cafe,https://down-vn.img.susercontent.com/vn-11134259-7r98o-lweywi2hb3yz5e@resize_ss576x330,Essence Cafe & Restaurant,"Café/Dessert, Nhà hàng, Sang trọng",Món Việt,"Cặp đôi, Gia đình, Nhóm hội, Khách du lịch",6.5,192,50,10,130,1,6.5,6.6,6.5,6.5,6.5,22 Tạ Hiện,Quận Hoàn Kiếm,Hà Nội,,60.000đ - 132.000đ,997
https://www.foody.vn/ha-noi/tim-ho-wan-dim-sum-hong-kong-lotte-hotels-resorts-hanoi,https://down-vn.img.susercontent.com/vn-11134259-7r98o-lwfjtfmvil7dcd@resize_ss576x330,Tim Ho Wan - Dimsum Hồng Kông - Lotte Hotel Hanoi,"Nhà hàng, Sang trọng",Món Trung Hoa,"Cặp đôi, Gia đình, Nhóm hội, Giới văn phòng, Khách du lịch",7.9,131,26,89,15,1,8.5,8.6,7.7,7.9,6.9,"Tầng 36, Lotte Center, 54 Liễu Giai",Quận Ba Đình,Hà Nội,11:30 - 22:00,100.000đ - 1.000.000đ,2511
https://www.foody.vn/ha-noi/tunglok-heen-am-thuc-trung-hoa-almaz-vinhomes-riverside,https://down-vn.img.susercontent.com/vn-11134259-7r98o-lwdbh9jbquah78@resize_ss576x330,Tunglok Heen - Ẩm Thực Trung Hoa - Almaz Vinhomes Riverside,"Nhà hàng, Sang trọng",Món Trung Hoa,"Nhóm hội, Giới văn phòng, Khách du lịch",7.6,56,18,20,16,1,8.1,7.2,7.9,7.9,6.8,"Almaz, Vinhomes Riverside",Quận Long Biên,Hà Nội,10:00 - 15:00 | 18:00 - 22:00,250.000đ - 5.000.000đ,2694
https://www.foody.vn/ha-noi/top-of-hanoi-lotte-hotels-resorts-hanoi,https://down-vn.img.susercontent.com/vn-11134259-7r98o-lwhc8ygxcgyj3b@resize_ss576x330,Top Of Hanoi - Lotte Hotels & Resorts Hanoi,"Nhà hàng, Sang trọng",Món Việt,"Cặp đôi, Giới Manager, Khách du lịch",7.3,78,17,30,31,0,8.0,8.0,6.9,7.2,6.3,"Tầng 67, Lotte Center, 54 Liễu Giai",Quận Ba Đình,Hà Nội,17:00 - 23:00,100.000đ - 300.000đ,2583
https://www.foody.vn/ha-noi/maison-vie-nha-hang-kieu-phap,https://down-vn.img.susercontent.com/vn-11134259-7r98o-lwg3nb2ni0grb0@resize_ss576x330,Maison Vie - Nhà Hàng Kiểu Pháp,"Nhà hàng, Sang trọng",Pháp,"Gia đình, Nhóm hội, Giới văn phòng",6.9,201,54,37,110,0,7.0,6.8,7.0,7.0,6.8,28 Tăng Bạt Hổ,Quận Hai Bà Trưng,Hà Nội,10:00 - 22:00,250.000đ - 700.000đ,1636
https://www.foody.vn/ha-noi/angelina-restaurant-lounge-sofitel-legend-metropole-hanoi,https://down-vn.img.susercontent.com/vn-11134259-7r98o-lw8oxz6lbyzd8c@resize_ss576x330,Angelina Restaurant & Lounge - Sofitel Legend Metropole Hanoi,"Nhà hàng, Sang trọng",Ý,"Gia đình, Giới Manager, Khách du lịch",6.9,101,23,27,50,1,7.1,7.0,7.1,7.1,6.5,15 Ngô Quyền,Quận Hoàn Kiếm,Hà Nội,00:01 - 02:00 | 11:00 - 23:59,100.000đ - 220.000đ,41
https://www.foody.vn/ha-noi/pan-pacific-hotel-hanoi,https://down-vn.img.susercontent.com/vn-11134259-7r98o-lwck23zioouzd8@resize_ss576x330,Pan Pacific Hotel Hanoi,"Lưu trú / Nghỉ dưỡng, Sang trọng",Món Việt,"Nhóm hội, Giới văn phòng, Giới Manager",6.7,113,32,10,71,0,6.7,6.7,6.7,6.7,6.7,1 Thanh Niên,Quận Ba Đình,Hà Nội,06:00 - 12:00,1.000.000đ - 10.000.000đ,1970
https://www.foody.vn/ha-noi/top-floor-rue-des-seaux-restaurant,https://down-vn.img.susercontent.com/vn-11134259-7r98o-lw8blybfsb1787@resize_ss800x450,Top Floor Rue Des Seaux Restaurant - Hàng Thùng,"Nhà hàng, Sang trọng",Quốc tế,"Cặp đôi, Gia đình, Giới văn phòng, Giới Manager, Khách du lịch",7.9,53,10,39,2,2,8.2,7.8,8.0,8.1,7.6,"21 Hàng Thùng, P. Lý Thái Tổ",Quận Hoàn Kiếm,Hà Nội,06:30 - 22:00,25.000đ - 250.000đ,2582
