Link,Image,Tên nhà hàng,Loại hình,Phong cách món ăn,Đối tượng phù hợp,Đánh giá trung bình,Tổng số bình luận,Bình luận tuyệt vời,Bình luận khá tốt,Bình luận trung bình,Bình luận kém,Điểm không gian,Điểm vị trí,Điểm chất lượng,Điểm phục vụ,Điểm giá cả,Đường,Quận,Thành phố,Giờ mở cửa,Khoảng giá
https://www.foody.vn/ha-noi/banh-mi-mom-s-bat-dan,https://down-vn.img.susercontent.com/vn-11134259-7r98o-ly3hwqkq5x8w48@resize_ss576x330,Bánh Mì MOM's - Bát Đàn,Quán ăn,,,10.0,63,63,0,0,0,10.0,10.0,10.0,10.0,10.0,"40A Phố Bát Đàn, P. Cửa Đông",Quận Hoàn Kiếm,Hà Nội,14:00 - 23:00,50.000đ - 70.000đ
https://www.foody.vn/ha-noi/tiem-xoi-ba-hien-beo-mi-tron-indomie-bun-tron,https://down-vn.img.susercontent.com/vn-11134513-7r98o-ltnkgudoxatmc0@resize_ss576x330,Tiệm Xôi Bà Hiền Béo - Mì Trộn Indomie & Bún Trộn,Quán ăn,,,10.0,54,54,0,0,0,10.0,9.9,10.0,10.0,10.0,"7A Thanh Hà, P. Đồng Xuân",Quận Hoàn Kiếm,Hà Nội,00:01 - 00:30 | 18:00 - 23:59,
https://www.foody.vn/ha-noi/the-matcha-house-coffee-tea-ly-thuong-kiet,https://down-vn.img.susercontent.com/vn-11134513-7ras8-m20gvrpvfjiz79@resize_ss576x330,The Matcha House - Coffee & Tea - Lý Thường Kiệt,"Café/Dessert,, Tiệm bánh",Món Á,"Sinh viên, Cặp đôi, Gia đình, Nhóm hội, Giới văn phòng, Giới Manager, Khách du lịch, Trẻ em",10.0,51,51,0,0,0,10.0,9.9,10.0,10.0,10.0,"42F Lý Thường Kiệt, P, Trần Hưng Đạo",Quận Hoàn Kiếm,Hà Nội,07:00 - 23:00,
https://www.foody.vn/ha-noi/tra-sua-leetee-kem-trung-tra-hoa-qua-cau-go,https://down-vn.img.susercontent.com/vn-11134513-7r98o-lsu9dah4rp9530@resize_ss576x330,Trà sữa LeeTee - Kem Trứng & Trà Hoa Quả - Cầu Gỗ,Ăn vặt/vỉa hè,Món Việt,"Cặp đôi, Nhóm hội",10.0,1,1,0,0,0,10.0,10.0,10.0,10.0,10.0,"67 Cầu Gỗ, P. Hàng Bạc",Quận Hoàn Kiếm,Hà Nội,09:00 - 23:00,30.000đ - 50.000đ
https://www.foody.vn/ha-noi/cari-truong-com-do-an-nhanh-pizza-bia-ta-hien.hrdrpb,https://down-vn.img.susercontent.com/vn-11134259-7r98o-lwf3yydvam6z20@resize_ss576x330,"Cari Trương - Cơm Đồ Ăn Nhanh, Pizza & Bia - Tạ Hiện","Quán ăn,, Giao cơm văn phòng",Món Miền Nam,"Sinh viên, Cặp đôi, Gia đình, Nhóm hội, Giới văn phòng, Giới Manager, Khách du lịch, Trẻ em",10.0,1,1,0,0,0,10.0,10.0,10.0,10.0,10.0,"8 (Bistro) Tạ Hiện, P. Hàng Buồm",Quận Hoàn Kiếm,Hà Nội,09:00 - 23:00,
https://www.foody.vn/ha-noi/satine-vietnamese-cuisine-de-l-opera-hanoi-hotel,https://down-vn.img.susercontent.com/vn-11134259-7r98o-lwghcxswi3mhf3@resize_ss576x330,Satine - Vietnamese Cuisine - De l'Opera Hanoi Hotel,"Sang trọng,, Nhà hàng",Món Việt,"Gia đình, Nhóm hội, Giới Manager, Khách du lịch",6.3,32,7,2,22,1,6.3,6.3,6.5,6.2,6.2,"Tầng Trệt, De l'Opera Hanoi Hotel, 29 Tràng Tiền, P. Tràng Tiền",Quận Hoàn Kiếm,Hà Nội,06:00 - 22:30,100.000đ - 500.000đ
https://www.foody.vn/ha-noi/gia-quan-tinh-hoa-am-thuc-ha-noi,https://down-vn.img.susercontent.com/vn-11134259-7r98o-lwc3m5lrt61l15@resize_ss576x330,Gia Quán - Tinh Hoa Ẩm Thực Hà Nội,Nhà hàng,Món Việt,"Cặp đôi, Gia đình, Nhóm hội",6.9,2402,612,103,1681,6,6.4,6.3,9.0,6.4,6.4,"93 Phùng Hưng, P. Hàng Mã",Quận Hoàn Kiếm,Hà Nội,09:00 - 23:59,180.000đ - 360.000đ
https://www.foody.vn/ha-noi/pepperonis-restaurant-hang-trong,https://down-vn.img.susercontent.com/vn-11134259-7ras8-m3oi9hydavng11@resize_ss576x330,Pepperonis Pizza - Hàng Trống,Nhà hàng,Ý,"Gia đình, Nhóm hội, Giới văn phòng",7.4,69,4,54,7,4,7.6,8.0,7.5,7.2,6.9,"98 Hàng Trống, P. Hàng Trống",Quận Hoàn Kiếm,Hà Nội,09:40 - 22:25,30.000đ - 220.000đ
https://www.foody.vn/ha-noi/quan-nha-keo-mi-indomie-mi-tron-do-an-vat-18-ngo-575-kim-ma,https://down-vn.img.susercontent.com/vn-11134513-7r98o-lsvcj62e3x6s3d@resize_ss576x330,"Quán Nhà Kẹo - Mì Indomie, Mì Trộn & Đồ Ăn Vặt - 18 Ngõ 575 Kim Mã",Quán ăn,,,10.0,200,200,0,0,0,10.0,10.0,10.0,10.0,10.0,"Nhà 1A Ngách 18/575 Kim Mã, P. Kim Mã",Quận Ba Đình,Hà Nội,06:00 - 23:59,10.000đ - 85.000đ
https://www.foody.vn/ha-noi/bun-rieu-cua-top-mo-mai-thu,https://down-vn.img.susercontent.com/vn-11134259-7r98o-lwa4yarad2ahf7@resize_ss576x330,Bún Riêu Cua TOP Mỡ Mai Thư,Quán ăn,,,10.0,153,153,0,0,0,9.9,9.9,10.0,10.0,10.0,"60 Cửa Bắc, P.Quán Thánh",Quận Ba Đình,Hà Nội,06:30 - 22:00,
https://www.foody.vn/ha-noi/bun-cha-xua-nam-cao,https://down-vn.img.susercontent.com/vn-11134259-7r98o-lxgqxabuqztnbf@resize_ss576x330,Bún Chả Xưa - Nam Cao,Quán ăn,,,10.0,151,150,0,1,0,10.0,10.0,10.0,10.0,10.0,"Số 8 Ngõ 126 Nam Cao, P.Giảng Võ",Quận Ba Đình,Hà Nội,10:00 - 21:00,
https://www.foody.vn/ha-noi/tiem-ga-ran-ong-anh-ngoc-ha,https://down-vn.img.susercontent.com/vn-11134513-7r98o-lsv788p8g3b835@resize_ss576x330,Tiệm Gà Rán Óng Ánh - Ngọc Hà,Quán ăn,,,10.0,131,130,0,1,0,9.9,10.0,10.0,10.0,10.0,"Số 6 Ngách 128, Ngõ 158 Ngọc Hà, P. Ngọc Hà",Quận Ba Đình,Hà Nội,09:00 - 23:00,35.000đ - 200.000đ
https://www.foody.vn/ha-noi/nha-hang-nhat-ban-shiba-sushi-dao-tan,https://down-vn.img.susercontent.com/vn-11134259-7r98o-lwa4upapt8m329@resize_ss576x330,Nhà Hàng Nhật Bản Shiba Sushi - Đào Tấn,Nhà hàng,,,10.0,69,69,0,0,0,10.0,10.0,10.0,10.0,10.0,"12 Ngõ 9 Đào Tấn, P.Ngọc Khánh",Quận Ba Đình,Hà Nội,10:00 - 14:00 | 16:00 - 22:00,50.000đ - 500.000đ
https://www.foody.vn/ha-noi/che-mai-tien-giang-vo,https://down-vn.img.susercontent.com/vn-11134259-7r98o-lxjguk9pf4rdb5,Chè Mai Tiến - Giảng Võ,Ăn vặt/vỉa hè,Món Bắc,"Sinh viên, Gia đình, Nhóm hội, Giới văn phòng",7.7,29,4,20,5,0,7.1,7.2,8.5,7.7,8.1,"Tập Thể C5 Giảng Võ, Trần Huy Liệu",Quận Ba Đình,Hà Nội,11:00 - 18:00,15.000đ - 50.000đ
